date	author
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\X3dForAdvancedModeling\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForAdvancedModeling\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Vrml2Sourcebook\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\Savage\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\HumanoidAnimation\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\HumanoidAnimation\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\ConformanceNist\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\ConformanceNist\HelloWorld.json
*enter date of initial version here*	*enter name of original author here*	..\www.web3d.org\x3d\content\examples\Basic\newScene.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\HelloWorld.json
29 April 2021	Don Brutzman  Vince Marchetti  Jakub Flotynski  Dick Puk	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\XmpMetadataEmbedded.json
16 November 2021	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\WorldInfoExampleMetadataSetX3D4.json
16 November 2021	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\WorldInfoExampleMetadataSetX3D3.json
3 March 2018	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\WorldInfoExample.json
30 September 2011	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\MetadataNodeExamplesX3D4.json
30 September 2011	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter15Metadata\MetadataNodeExamplesX3D3.json
10 September 2021	*Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\X3dArchitectureConceptsPrototypeBodyValidationExample.json
1 January 1999	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\WhereAmIPrototype.json
28 March 2016	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\WhereAmIExample.json
20 October 2019	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\ViewFrustumPrototype.json
20 October 2019	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\ViewFrustumExample.json
16 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\TextStringPrototype.json
2 July 2016	Don Brutzman  John Carlson  Roy Walmsley	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\MaterialModulatorPrototypeExpanded.json
7 September 2017	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\MaterialModulatorExamples.json
10 March 2008	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\MaterialModulator.json
